iter	Passed	Remaining
851	35444	6157
852	35487	6115
853	35537	6075
854	35581	6034
855	35623	5992
856	35666	5951
857	35708	5909
858	35753	5868
859	35798	5827
860	35840	5786
861	35885	5744
862	35929	5703
863	35972	5662
864	36015	5620
865	36054	5578
866	36100	5537
867	36141	5496
868	36184	5454
869	36225	5413
870	36271	5371
871	36319	5331
872	36363	5289
873	36404	5248
874	36443	5206
875	36484	5164
876	36529	5123
877	36570	5081
878	36611	5039
879	36651	4997
880	36699	4957
881	36740	4915
882	36782	4873
883	36826	4832
884	36870	4791
885	36914	4749
886	36960	4708
887	37005	4667
888	37050	4626
889	37091	4584
890	37134	4542
891	37180	4501
892	37223	4460
893	37264	4418
894	37305	4376
895	37347	4334
896	37390	4293
897	37431	4251
898	37475	4210
899	37518	4168
900	37559	4126
901	37598	4085
902	37645	4043
903	37692	4002
904	37729	3960
905	37773	3919
906	37815	3877
907	37862	3836
908	37907	3794
909	37946	3752
910	37988	3711
911	38036	3670
912	38083	3628
913	38128	3587
914	38174	3546
915	38216	3504
916	38255	3462
917	38300	3421
918	38347	3379
919	38386	3337
920	38430	3296
921	38474	3254
922	38514	3213
923	38564	3171
924	38606	3130
925	38654	3089
926	38699	3047
927	38743	3005
928	38788	2964
929	38835	2923
930	38879	2881
931	38919	2839
932	38959	2797
933	39006	2756
934	39050	2714
935	39095	2673
936	39134	2631
937	39178	2589
938	39223	2548
939	39263	2506
940	39305	2464
941	39360	2423
942	39405	2381
943	39445	2339
944	39488	2298
945	39527	2256
946	39570	2214
947	39614	2172
948	39660	2131
949	39702	2089
950	39746	2047
951	39789	2006
952	39832	1964
953	39876	1922
954	39916	1880
955	39958	1839
956	40006	1797
957	40046	1755
958	40090	1713
959	40128	1672
960	40172	1630
961	40220	1588
962	40261	1546
963	40305	1505
964	40346	1463
965	40389	1421
966	40438	1380
967	40480	1338
968	40525	1296
969	40567	1254
970	40604	1212
971	40645	1170
972	40692	1129
973	40737	1087
974	40779	1045
975	40817	1003
976	40861	961
977	40905	920
978	40949	878
979	40988	836
980	41027	794
981	41070	752
982	41113	711
983	41156	669
984	41200	627
985	41243	585
986	41285	543
987	41332	502
988	41374	460
989	41417	418
990	41455	376
991	41493	334
992	41535	292
993	41575	250
994	41618	209
995	41663	167
996	41704	125
997	41750	83
998	41789	41
999	41837	0
